attr,hidden_fraction,accuracy,mae
dorm,0.1,0.18857142857142858,18.861428571428572
dorm,0.2,0.17941386704789136,20.045032165832737
dorm,0.3,0.19399428026692087,20.925166825548143
dorm,0.4,0.16082916368834882,22.695854181558257
major,0.1,0.14015151515151514,18.526515151515152
major,0.2,0.11237373737373738,17.630050505050505
major,0.3,0.12542087542087543,17.188552188552187
major,0.4,0.12910353535353536,18.155934343434343
year,0.1,0.8497706422018348,0.23394495412844038
year,0.2,0.8521489971346705,0.23151862464183381
year,0.3,0.8437141765380206,0.2399694306457776
year,0.4,0.8394955574663228,0.24304958440813987
gender,0.1,0.7433628318584071,0.25663716814159293
gender,0.2,0.7400442477876106,0.25995575221238937
gender,0.3,0.733308742161564,0.266691257838436
gender,0.4,0.7250345781466113,0.2749654218533887
